datetime,open,high,low,close,volume
2024-04-22 14:52:00,47920.6,47923.55,47909.0,47915.3,0
2024-04-22 14:53:00,47920.25,47922.95,47905.2,47905.2,0
2024-04-22 14:54:00,47910.15,47910.15,47870.0,47870.0,0
2024-04-22 14:55:00,47876.25,47881.35,47864.8,47870.4,0
2024-04-22 14:56:00,47869.9,47870.9,47846.05,47857.75,0
2024-04-22 14:57:00,47850.3,47884.95,47846.1,47871.8,0
2024-04-22 14:58:00,47866.4,47873.75,47841.35,47851.75,0
2024-04-22 14:59:00,47850.7,47861.6,47846.15,47850.05,0
2024-04-22 15:00:00,47850.3,47872.15,47849.25,47867.85,0
2024-04-22 15:01:00,47869.85,47877.3,47856.35,47871.8,0
2024-04-22 15:02:00,47869.1,47879.45,47860.1,47872.1,0
2024-04-22 15:03:00,47872.15,47886.3,47870.2,47878.15,0
2024-04-22 15:04:00,47880.7,47895.85,47878.05,47890.8,0
2024-04-22 15:05:00,47887.75,47898.6,47881.5,47894.45,0
2024-04-22 15:06:00,47893.7,47926.15,47892.5,47924.9,0
2024-04-22 15:07:00,47923.65,47925.1,47907.25,47913.4,0
2024-04-22 15:08:00,47913.35,47920.55,47906.5,47908.15,0
2024-04-22 15:09:00,47908.2,47914.6,47895.05,47913.9,0
2024-04-22 15:10:00,47910.85,47918.35,47905.8,47908.65,0
2024-04-22 15:11:00,47907.6,47926.75,47907.55,47911.5,0
2024-04-22 15:12:00,47912.95,47945.75,47911.8,47943.55,0
2024-04-22 15:13:00,47942.4,47949.55,47930.95,47938.65,0
2024-04-22 15:14:00,47941.35,47962.65,47936.45,47959.95,0
2024-04-22 15:15:00,47954.6,47954.8,47927.55,47936.75,0
2024-04-22 15:16:00,47936.45,47936.45,47917.5,47929.4,0
2024-04-22 15:17:00,47931.15,47942.0,47928.6,47931.55,0
2024-04-22 15:18:00,47934.6,47938.15,47916.7,47926.35,0
2024-04-22 15:19:00,47925.45,47938.1,47919.75,47930.3,0
2024-04-22 15:20:00,47928.4,47932.7,47902.5,47915.65,0
2024-04-22 15:21:00,47917.05,47935.15,47913.3,47931.05,0
2024-04-22 15:22:00,47931.3,47948.55,47923.9,47944.95,0
2024-04-22 15:23:00,47944.55,47951.25,47938.55,47951.25,0
2024-04-22 15:24:00,47950.05,47978.75,47946.9,47970.65,0
2024-04-22 15:25:00,47968.7,47981.15,47956.8,47959.4,0
2024-04-22 15:26:00,47958.3,47986.8,47956.95,47973.95,0
2024-04-22 15:27:00,47972.9,47999.95,47971.3,47986.8,0
2024-04-22 15:28:00,47988.4,48009.55,47979.55,48003.85,0
2024-04-22 15:29:00,48002.75,48008.8,47982.35,47994.85,0
2024-04-23 09:15:00,48299.6,48302.7,48022.45,48072.0,0
2024-04-23 09:16:00,48067.65,48116.85,48067.65,48101.3,0
2024-04-23 09:17:00,48090.5,48101.95,48060.0,48072.6,0
2024-04-23 09:18:00,48073.15,48095.5,48059.5,48094.7,0
2024-04-23 09:19:00,48093.3,48104.15,48068.8,48072.3,0
2024-04-23 09:20:00,48071.15,48094.4,48064.6,48086.05,0
2024-04-23 09:21:00,48088.65,48114.7,48063.05,48080.8,0
2024-04-23 09:22:00,48084.0,48097.0,48072.5,48077.85,0
2024-04-23 09:23:00,48081.8,48084.2,48005.0,48023.0,0
2024-04-23 09:24:00,48029.45,48053.0,48015.75,48048.5,0
2024-04-23 09:25:00,48037.9,48046.25,48030.15,48031.6,0
2024-04-23 09:26:00,48028.1,48089.75,48022.65,48071.4,0
2024-04-23 09:27:00,48074.35,48083.95,48051.4,48057.05,0
2024-04-23 09:28:00,48057.75,48058.9,48029.35,48033.2,0
2024-04-23 09:29:00,48038.95,48052.0,48024.3,48045.25,0
2024-04-23 09:30:00,48045.0,48050.95,48029.55,48042.0,0
2024-04-23 09:31:00,48039.05,48039.05,47993.6,48009.3,0
2024-04-23 09:32:00,48008.45,48060.55,48008.45,48031.1,0
2024-04-23 09:33:00,48029.25,48036.65,48020.1,48027.25,0
2024-04-23 09:34:00,48025.35,48028.05,48000.55,48014.35,0
2024-04-23 09:35:00,48005.55,48012.2,47994.9,47999.3,0
2024-04-23 09:36:00,47999.8,48002.45,47986.6,47994.3,0
2024-04-23 09:37:00,47995.15,48002.15,47968.85,47996.65,0
2024-04-23 09:38:00,47995.75,48015.05,47989.55,48003.85,0
2024-04-23 09:39:00,48009.9,48019.75,48006.9,48011.45,0
2024-04-23 09:40:00,48011.1,48016.85,48002.25,48008.35,0
2024-04-23 09:41:00,48009.9,48027.9,48008.15,48023.65,0
